ip,timestamp,method,endpoint,status,bytes
remote27.compusmart.ab.ca,1995-07-01 04:01:27,GET,/shuttle/countdown/,200,3985
link097.txdirect.net,1995-07-01 04:01:27,GET,/images/launchmedium.gif,200,11853
slip1.yab.com,1995-07-01 04:01:29,GET,/shuttle/resources/orbiters/endeavour.gif,200,16991
link097.txdirect.net,1995-07-01 04:01:31,GET,/images/NASA-logosmall.gif,200,786
link097.txdirect.net,1995-07-01 04:01:31,GET,/images/KSC-logosmall.gif,200,1204
port26.annex2.nwlink.com,1995-07-01 04:01:32,GET,/images/USA-logosmall.gif,200,234
port26.annex2.nwlink.com,1995-07-01 04:01:32,GET,/images/WORLD-logosmall.gif,200,669
onyx.southwind.net,1995-07-01 04:01:34,GET,/shuttle/countdown/countdown.html,200,3985
onyx.southwind.net,1995-07-01 04:01:35,GET,/shuttle/countdown/count.gif,200,40310
onyx.southwind.net,1995-07-01 04:01:39,GET,/images/KSC-logosmall.gif,304,0
unicomp6.unicomp.net,1995-07-01 04:01:41,GET,/htbin/cdt_main.pl,200,3214
199.72.81.55,1995-07-01 04:01:43,GET,/,200,7074
link097.txdirect.net,1995-07-01 04:01:44,GET,/shuttle/missions/sts-78/mission-sts-78.html,200,4377
link097.txdirect.net,1995-07-01 04:01:45,GET,/shuttle/missions/sts-78/sts-78-patch-small.gif,200,4179
199.72.81.55,1995-07-01 04:01:46,GET,/images/ksclogo-medium.gif,200,5866
gater4.sematech.org,1995-07-01 04:01:46,GET,/shuttle/countdown/,200,3985
link097.txdirect.net,1995-07-01 04:01:47,GET,/images/launch-logo.gif,200,1713
ppp-nyc-3-1.ios.com,1995-07-01 04:01:49,GET,/shuttle/missions/sts-71/images/KSC-95EC-0917.jpg,200,52491
gater3.sematech.org,1995-07-01 04:01:50,GET,/shuttle/countdown/count.gif,200,40310
199.72.81.55,1995-07-01 04:01:50,GET,/images/MOSAIC-logosmall.gif,200,363
199.72.81.55,1995-07-01 04:01:51,GET,/images/USA-logosmall.gif,200,234
gater4.sematech.org,1995-07-01 04:01:52,GET,/images/NASA-logosmall.gif,200,786
199.72.81.55,1995-07-01 04:01:52,GET,/images/WORLD-logosmall.gif,200,669
ix-or10-06.ix.netcom.com,1995-07-01 04:01:52,GET,/software/winvn/userguide/wvnguide.html,200,5998
gater3.sematech.org,1995-07-01 04:01:52,GET,/images/KSC-logosmall.gif,200,1204
remote27.compusmart.ab.ca,1995-07-01 04:01:53,GET,"/cgi-bin/imagemap/countdown?102,174",302,110
remote27.compusmart.ab.ca,1995-07-01 04:01:55,GET,/shuttle/missions/sts-71/images/images.html,200,7634
link097.txdirect.net,1995-07-01 04:01:55,GET,/shuttle/resources/orbiters/columbia.html,200,6922
dave.dev1.ihub.com,1995-07-01 04:01:55,GET,/shuttle/countdown/,200,3985
link097.txdirect.net,1995-07-01 04:01:56,GET,/shuttle/resources/orbiters/columbia-logo.gif,200,11417
netport-27.iu.net,1995-07-01 04:01:57,GET,/,200,7074
ix-or10-06.ix.netcom.com,1995-07-01 04:01:57,GET,/software/winvn/userguide/wvnguide.gif,200,4151
dave.dev1.ihub.com,1995-07-01 04:01:58,GET,/images/NASA-logosmall.gif,200,786
dave.dev1.ihub.com,1995-07-01 04:01:58,GET,/images/KSC-logosmall.gif,200,1204
dave.dev1.ihub.com,1995-07-01 04:01:58,GET,/shuttle/countdown/count.gif,200,40310
pm13.j51.com,1995-07-01 04:01:58,GET,/shuttle/missions/sts-71/movies/crew-arrival-t38.mpg,200,305722
bart-slip1.llnl.gov,1995-07-01 04:01:59,GET,/shuttle/missions/missions.html,200,8677
link097.txdirect.net,1995-07-01 04:01:59,GET,/images/ksclogosmall.gif,200,3635
link097.txdirect.net,1995-07-01 04:01:59,GET,/shuttle/resources/orbiters/orbiters-logo.gif,200,1932
netport-27.iu.net,1995-07-01 04:02:00,GET,/images/ksclogo-medium.gif,304,0
netport-27.iu.net,1995-07-01 04:02:01,GET,/images/NASA-logosmall.gif,304,0
